,pop,mom_code,Plant_tag_no,lon,lat,map,MeanAnnualTemp,alt,raincon,frost,daysraindry3mon,janmaxt,julmint,Wet_leaf_Mass_g_2012,Dry_leaf_Mass_g_2012,Thickness_mm_2012,Leaf_Density_2012,Stem_Diameter_mm_2012,stem_color_code_2012,Height_cm_2012,leaf_water_content_2012,leaf_area_2012,leaf_length_2012,leaf_width_2012,SLA_2012,LWR_2012,Wet_leaf_Mass_g_2013,Dry_leaf_Mass_g_2013,leaf_water_content_2013,Stem_Diameter_mm_2013,stem_color_code_2013,Height_cm_2013,num_branches_2013,Leaf_area_2013,Leaf_length_2013,Leaf_width_2013,LengthWidthRatio_2013,LMA_2013,SLA_2013,stomatal_count_2013,stomata_per_mm2_2013,views_counted_2013,guard_cell_size_2013,pore_index_2013,PC1.2013,PC2.2013,t3.2013,B1.2013,S5.2013,H4.2013,mds1,mds2
1,ALC,ALC_12,602,26.09839,-33.24081,429,16.7,651,18,65,8.6,27,4.7,0.149,0.054,0.427,NA,4.69,4,25,0.63758,3.45433,7.2192,0.7113,63.969,10.1493,0.32,0.138,0.56875,10.76,1,85,3,6.877,10.725,1.045,10.2632,0.020067,49.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
2,ALC,ALC_34,152,26.09839,-33.24081,429,16.7,651,18,65,8.6,27,4.7,0.086,0.026,0.41,NA,2.85,4,13,0.69767,2.82127,5.9099,0.7094,108.51,8.3308,0.166,0.064,0.61446,6.77,2,56,1,3.696,8.387,0.708,11.846,0.017316,57.75,9,50,3,0.062,0.1922,3.625004461,-1.019501321,2.888328231,3213.416983,0.303842659,0.557996133,,
3,ALC,ALC_44,542,26.09839,-33.24081,429,16.7,651,18,65,8.6,27,4.7,0.125,0.052,0.422,NA,4.58,4,15,0.584,3.20318,7.3427,0.6971,61.6,10.5332,0.238,0.102,0.57143,11.56,2,75,2,5.157,9.771,1.025,9.5327,0.019779,50.559,7.666666667,42.59259259,3,0.065,0.179953704,2.071284601,-2.705629652,6.595254599,2767.437998,0.406359758,0.991162402,,
4,ANY,ANY_19,41,20.70409,-33.49369,224,13.7,1152,21,128,3.6,24.5,2.7,0.06,0.023,0.358,11,3.33,2,17,0.61667,2.01592,5.898,0.4766,87.649,12.3752,0.13,0.047,0.63846,7.66,3,50,1,3.167,8.721,0.637,13.6907,0.014841,67.383,6.666666667,37.03703704,3,0.052,0.100148148,-0.424388414,-3.127328415,9.430855479,3292.980697,0.454824435,1.078019147,,
5,ANY,ANY_1,392,20.70409,-33.49369,224,13.7,1152,21,128,3.6,24.5,2.7,0.092,0.046,0.52,NA,3.05,4,14,0.5,1.96388,6.0295,0.5626,42.693,10.7172,0.118,0.044,0.62712,6.2,3,48,1,2.485,7.694,0.573,13.4276,0.017706,56.477,8,44.44444444,3,0.06,0.16,5.494322401,-3.279052762,3.962474079,1290.389188,0.459392976,1.080677517,,
6,ANY,ANY_30,70,20.70409,-33.49369,224,13.7,1152,21,128,3.6,24.5,2.7,0.071,0.031,0.375,14,3.37,2,18,0.56338,2.00565,6.8903,0.4766,64.698,14.4572,0.206,0.086,0.58252,8.68,2,60,2,4.543,10.77,0.644,16.7236,0.01893,52.826,6.666666667,37.03703704,3,0.059,0.128925926,-3.680307042,-1.226960037,8.718635321,5823.03451,0.350242573,0.907180519,,
7,BAN,BAN_21,431,18.64454,-32.72662,472,17.6,327,51,8,4.1,29.8,7.8,0.129,0.047,0.466,NA,3.72,2,15,0.63566,2.87927,6.1893,0.7135,61.261,8.6746,0.246,0.1,0.5935,10.21,2,62,3,5.008,9.607,0.944,10.1769,0.019968,50.08,9.666666667,53.7037037,3,0.056666667,0.17244856,NA,NA,NA,NA,NA,NA,,
8,BAN,BAN_35,524,18.64454,-32.72662,472,17.6,327,51,8,4.1,29.8,7.8,0.159,0.06,0.541,NA,5.25,3,24,0.62264,3.16373,6.4415,0.8361,52.729,7.7042,0.285,0.13,0.54386,12.49,2,76,2,6.083,9.508,1.18,8.0576,0.021371,46.792,5,27.77777778,3,0.061666667,0.105632716,2.886131843,0.735686872,-1.210919208,3389.467055,0.354854512,0.449425665,,
9,BAV,BAV_20,736,23.63356,-33.49336,283,17.6,1022,13,137,9.9,27.1,1.1,0.046,0.015,0.34,NA,3.6,2,12,0.67391,1.18117,4.5708,0.3801,78.745,12.0253,0.105,0.047,0.55238,9.45,1,56,3,3.003,7.296,0.81,9.0074,0.015651,63.894,9.666666667,53.7037037,3,0.054,0.1566,NA,NA,NA,NA,NA,NA,,
10,BAV,BAV_32,1,23.63356,-33.49336,283,14.4,1022,13,137,9.9,27.1,1.1,0.019,0.012,0.348,19,3.9,0,10,0.36842,1.01353,4.0512,0.4344,84.461,9.326,0.093,0.035,0.62366,7.97,0,33,2,2.26,7.281,0.615,11.839,0.015487,64.571,6.666666667,37.03703704,3,0.054666667,0.110683128,3.072919907,3.760816149,-9.887658603,4619.979585,0.311589649,0.195869279,,
11,BAV,BAV_44,87,23.63356,-33.49336,283,14.4,1022,13,137,9.9,27.1,1.1,0.046,0.023,0.412,24,2.87,4,7,0.5,1.7849,5.817,0.5635,77.604,10.323,0.077,0.023,0.7013,3.84,3,28,1,2.412,7.008,0.625,11.2128,0.009536,104.87,11,61.11111111,3,0.035666667,0.077740123,-1.341708765,-2.576521253,10.48964796,4592.150183,0.350324927,0.974008107,,
12,BRD,BRD_1,367,20.0386,-34.54593,476,16.9,177,25,11,8,27,6.6,0.076,0.03,0.422,NA,4.85,4,38,0.60526,2.02843,5.2686,0.5828,67.614,9.0402,0.262,0.099,0.62214,7.7,2,110,3,5.979,9.202,1.147,8.0227,0.016558,60.394,7,38.88888889,3,0.068,0.179822222,2.8516055,-2.284915577,5.267844787,2909.751022,0.35459545,0.868212468,,
13,BRD,BRD_41,456,20.0386,-34.54593,476,16.9,177,25,11,8,27,6.6,0.057,0.017,0.444,NA,3.15,4,19,0.70175,1.5182,4.7095,0.6081,89.306,7.7446,0.116,0.045,0.61207,7.37,2,61,2,2.926,7.838,0.708,11.0706,0.015379,65.022,7.666666667,42.59259259,3,0.056333333,0.135165226,-3.714570758,-3.688898095,13.6726284,3515.743732,0.560556415,1.113551499,,
14,CDB,CDB_26,316,19.10676,-32.4064,575,11.5,1042,56,81,3.7,19.9,2.8,0.068,0.026,0.472,NA,3.52,3,11,0.61765,1.32961,4.5289,0.4589,51.139,9.869,0.152,0.069,0.54605,8.37,0,46,2,3.132,7.183,0.662,10.8505,0.022031,45.391,11.66666667,64.81481481,3,0.055333333,0.19844856,NA,NA,NA,NA,NA,NA,,
15,CDB,CDB_2,651,19.10676,-32.4064,575,11.5,1042,56,81,3.7,19.9,2.8,0.081,0.033,0.585,NA,3.03,1,11,0.59259,1.63797,4.2782,0.6207,49.635,6.8925,0.132,0.052,0.60606,4.27,0,32,0,2.613,6.574,0.674,9.7537,0.0199,50.25,11.66666667,64.81481481,3,0.049,0.15562037,NA,NA,NA,NA,NA,NA,,
16,CDB,CDB_40,127,19.10676,-32.4064,575,11.5,1042,56,81,3.7,19.9,2.8,0.066,0.023,0.473,NA,3.09,0,13,0.65152,1.70297,4.4621,0.6633,74.042,6.7271,0.156,0.059,0.62179,7.4,1,66,3,3.255,6.979,0.809,8.6267,0.018126,55.169,8.666666667,48.14814815,3,0.054,0.1404,5.234415411,1.302083944,-4.539893596,3063.97895,0.32497531,0.129695942,,
17,CER,CER_1,1120,19.276,-33.36542,894,14.2,677,53,78,6.2,27.3,1.9,0.106,0.042,0.425,NA,6.34,4,21,0.60377,1.768,6.4463,0.5074,42.095,12.7046,0.234,0.099,0.57692,15.11,3,68,5,4.709,9.421,0.843,11.1756,0.021024,47.566,7,38.88888889,3,0.062333333,0.151100617,0.716372975,-1.498289517,6.101164991,3320.318577,0.406167405,0.816368622,,
18,CER,CER_22,514,19.276,-33.36542,894,14.2,677,53,78,6.2,27.3,1.9,0.084,0.033,0.46,NA,4.22,0,14,0.60714,2.19378,5.5076,0.6339,66.478,8.6884,0.175,0.074,0.57714,8.85,0,50,2,3.795,8.257,0.776,10.6405,0.019499,51.284,10.66666667,59.25925926,3,0.056333333,0.188055967,3.507181988,2.36203481,-6.840321729,4019.531713,0.320303395,0.259003334,,
