"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"13532"	"comp60146_c3_seq3"	11.2059013784824	10.9938534051444	67.3654791428248	9.50665972587081e-37	8.02910461915772e-33	69.2157594998141
"14213"	"comp60879_c0_seq76"	10.2101309836378	9.95346779788623	66.7377188867039	1.28960883699931e-36	8.02910461915772e-33	68.9836211024067
"14666"	"comp61382_c4_seq3"	8.08766474952035	8.02030151850381	65.1443540962691	2.83257572478989e-36	1.17570776416946e-32	68.2737542153216
"16396"	"comp63234_c8_seq27"	11.1804960853141	11.2052537049834	64.540474453487	3.83574639266494e-36	1.19406785203659e-32	68.244915726179
"11743"	"comp58130_c5_seq32"	10.1311931595556	10.0618913462681	63.8451810399567	5.45708745178203e-36	1.26081020566324e-32	67.9723617462556
"15372"	"comp62149_c9_seq6"	11.5953435176851	11.8266241362179	63.6023006421172	6.17778707825269e-36	1.26081020566324e-32	67.9113394697313
"11103"	"comp57392_c3_seq10"	9.54775720516139	9.47986935695005	63.3343162114414	7.08775412756398e-36	1.26081020566324e-32	67.7617356145563
"13553"	"comp60171_c1_seq3"	9.09846471891624	9.05459108914527	61.5992094902618	1.74987628258339e-35	2.72368243384104e-32	67.0878797428949
"14977"	"comp61720_c1_seq13"	15.0789289404173	14.9309847753465	60.4790840864435	3.17840326930056e-35	3.95774775093306e-32	66.6755069871643
"12575"	"comp59081_c3_seq5"	8.33705065247096	8.26350780506995	60.545812955605	3.0664506935731e-35	3.95774775093306e-32	66.616304616953
